Date,Price
10/20/16,258467.9832
10/21/16,257753.8866
10/22/16,258894.7995
10/23/16,267890.7744
10/24/16,267188.9898
10/25/16,266753.9655
10/26/16,268526.8948
10/27/16,276611.781
10/28/16,283674.7704
10/29/16,283157.666
10/30/16,293142.7056
10/31/16,286219.2523
11/1/16,286009.9482
11/2/16,299881.4787
11/3/16,305586.0431
11/4/16,283178.186
11/5/16,289875.9191
11/6/16,290150.8873
11/7/16,294267.2025
11/8/16,289916.9591
11/9/16,291858.1526
11/10/16,295888.2837
11/11/16,292580.4572
11/12/16,294217.9544
11/13/16,289141.3025
11/14/16,288927.8944
11/15/16,290696.7197
11/16/16,292326.009
11/17/16,303636.6416
11/18/16,299885.5827
11/19/16,307203.0203
11/20/16,308118.213
11/21/16,300410.8951
11/22/16,302220.7605
11/23/16,306431.4677
11/24/16,304322.0101
11/25/16,302873.297
11/26/16,303591.4976
11/27/16,301933.4803
11/28/16,299282.2943
11/29/16,299499.8064
11/30/16,300566.8473
12/1/16,304802.1785
12/2/16,309443.806
12/3/16,315702.4108
12/4/16,314770.8021
12/5/16,315185.3064
12/6/16,308623.0054
12/7/16,311824.1278
12/8/16,313687.3453
12/9/16,315144.2664
12/10/16,317331.7
12/11/16,318419.2609
12/12/16,316441.1314
12/13/16,319679.1898
12/14/16,318546.485
12/15/16,319153.8774
12/16/16,318538.277
12/17/16,320516.4065
12/18/16,323631.3448
12/19/16,324513.7055
12/20/16,324550.6415
12/21/16,327907.7161
12/22/16,342481.0312
12/23/16,351312.8459
12/24/16,376445.7611
12/25/16,365873.849
12/26/16,367769.8985
12/27/16,370219.9883
12/28/16,379704.3396
12/29/16,403084.8454
12/30/16,398385.7618
12/31/16,394318.6947
1/1/17,399473.3226
1/2/17,407508.9608
1/3/17,415101.3665
1/4/17,418885.2574
1/5/17,463877.4437
1/6/17,445996.3021
1/7/17,445996.3021
1/8/17,445996.3021
1/9/17,445996.3021
1/10/17,445996.3021
1/11/17,445996.3021
1/12/17,445996.3021
1/13/17,457301.7031
1/14/17,468094.4353
1/15/17,466168.9713
1/16/17,469158.5075
1/17/17,469777.8087
1/18/17,510083.0615
1/19/17,499943.4107
1/20/17,508349.0179
1/21/17,503501.578
1/22/17,520813.8635
1/23/17,524281.9507
1/24/17,512729.1669
1/25/17,499386.0395
1/26/17,504453.0499
1/27/17,516287.3342
1/28/17,519445.7707
1/29/17,520768.8234
1/30/17,516017.0937
1/31/17,519783.5714
2/1/17,546120.7655
2/2/17,558923.4118
2/3/17,567723.1199
2/4/17,573139.191
2/5/17,583014.2313
2/6/17,572193.349
2/7/17,575717.7363
2/8/17,593384.7126
2/9/17,594927.3357
2/10/17,532447.8827
2/11/17,532447.8827
2/12/17,532447.8827
2/13/17,532447.8827
2/14/17,532447.8827
2/15/17,532447.8827
2/16/17,532447.8827
2/17/17,532447.8827
2/18/17,532447.8827
2/19/17,532447.8827
2/20/17,531552.4395
2/21/17,546567.8531
2/22/17,565861.2051
2/23/17,566071.8422
2/24/17,595255.106
2/25/17,595260.1211
2/26/17,580761.2699
2/27/17,594257.0875
2/28/17,599723.6208
3/1/17,597567.0985
3/2/17,616870.4809
3/3/17,636514.8948
3/4/17,648395.8282
3/5/17,638922.1755
3/6/17,641434.7748
3/7/17,644448.8909
3/8/17,606164.6666
3/9/17,606164.6666
3/10/17,606164.6666
3/11/17,606164.6666
3/12/17,606164.6666
3/13/17,606164.6666
3/14/17,606164.6666
3/15/17,606164.6666
3/16/17,606164.6666
3/17/17,606164.6666
3/18/17,606164.6666
3/19/17,606164.6666
3/20/17,625525.4517
3/21/17,641152.7139
3/22/17,683770.2888
3/23/17,634777.8708
3/24/17,628992.0411
3/25/17,573606.3732
3/26/17,591307.4535
3/27/17,597050.3343
3/28/17,639385.6736
3/29/17,641422.6784
3/30/17,640115.8049
3/31/17,639545.1981
4/1/17,668167.5688
4/2/17,670014.3713
4/3/17,683506.4599
4/4/17,707195.8433
4/5/17,701913.1292
4/6/17,695164.0171
4/7/17,731554.0023
4/8/17,732597.0469
4/9/17,726768.2683
4/10/17,743009.0861
4/11/17,742413.9372
4/12/17,750997.5806
4/13/17,744972.4642
4/14/17,722197.2787
4/15/17,720166.4096
4/16/17,723301.6789
4/17/17,722774.021
4/18/17,730087.6043
4/19/17,737468.6787
4/20/17,744997.0064
4/21/17,758458.4172
4/22/17,766950.0273
4/23/17,765115.496
4/24/17,768171.0031
4/25/17,771428.9835
4/26/17,786074.5567
4/27/17,796676.7982
4/28/17,827857.696
4/29/17,830361.003
4/30/17,837778.8907
5/1/17,849510.0746
5/2/17,881384.2903
5/3/17,903159.38
5/4/17,940592.4098
5/5/17,932271.3497
5/6/17,906081.6992
5/7/17,925986.332
5/8/17,940104.6665
5/9/17,1000495.871
5/10/17,1004834.135
5/11/17,1048368.586
5/12/17,1073440.599
5/13/17,990342.1147
5/14/17,1047049.006
5/15/17,1051288.01
5/16/17,1020820.901
5/17/17,1038144.763
5/18/17,1059018.645
5/19/17,1109191.866
5/20/17,1154191.867
5/21/17,1202467.463
5/22/17,1201352.243
5/23/17,1208227.486
5/24/17,1270988.016
5/25/17,1360586.941
5/26/17,1499777.983
5/27/17,1499777.983
5/28/17,1499777.983
5/29/17,1499777.983
5/30/17,1499777.983
5/31/17,1499777.983
6/1/17,1499777.983
6/2/17,1499777.983
6/3/17,1499777.983
6/4/17,1499777.983
6/5/17,1499777.983
6/6/17,1499777.983
6/7/17,1499777.983
6/8/17,1499777.983
6/9/17,1499777.983
6/10/17,1499777.983
6/11/17,1499777.983
6/12/17,1499777.983
6/13/17,1499777.983
6/14/17,1499777.983
6/15/17,1499777.983
6/16/17,1499777.983
6/17/17,1499777.983
6/18/17,1499777.983
6/19/17,1499777.983
6/20/17,1499777.983
6/21/17,1499777.983
6/22/17,1499777.983
6/23/17,1499777.983
6/24/17,1499777.983
6/25/17,1499777.983
6/26/17,1499777.983
6/27/17,1499777.983
6/28/17,1499777.983
6/29/17,1499777.983
6/30/17,1499777.983
7/1/17,1499777.983
7/2/17,1473430.476
7/3/17,1529987.424
7/4/17,1545641.959
7/5/17,1581869.289
7/6/17,1590964.118
